yorum,label
"Ben yeni bir AT&T müşterisiyim.Kurulum ekibiniz-Joe ve Lee-1.10.25'te yaklaşık 4 saat boyunca evimde kaldı.İkisi de son derece hoş, sabırlı, yardımsever ve vicdanlıydı.Onlar bizim yeni AT&T internet ekipmanı için en iyi yeri seçmek için büyük özen gösterdi ve onlar buldukları gibi evimizi tutmak için titiz.Onlar birkaç saat boyunca evimizin içinde ve dışında olabilir en nazik ""işçiler"" idi.Dürüst olmak gerekirse onlarla konuşmaktan ve onları hem yakışıklı hem de düşünceli bulmaktan keyif aldık.Onları çok tavsiye ediyoruz ve bize AT&T ile yeni ilişkimizin en iyi ilk izlenimini verdiler! Ayrıca, Joe ve Lee buradayken gelen ""hesap"" bir adam olan Blaine hakkında yorum yapmak istiyorum.Ayrıca gurur duyabileceğiniz en hoş, yardımsever, bilgili bir çalışandı!Hizmetimiz hakkında birçok şeyi açıkladı ve hatta çok olumlu ve aydınlatıcı bulduğum önerilerde bulundu.",1
"Greg, sorunumu çözmek, sabır ve arkadaş canlısı olmak için yukarıda ve öteye gitti.AT & T'ye geçtiğim için çok mutluyum.",1
"Son zamanlarda iPhone 15'i Warren Ri Sage'deki AT&T mağazasında satın aldım, yönetici olağanüstü ve çok bilgili!Daha iyi bir deneyim olamazdım!Ayrıca çok yardımcı olan Joe, yeni telefonum için iyi bir koruyucu kasa seçmeme yardımcı oldu!Her iki beyler de harika!",1
"Bu derecelendirme, 33. & Broadway, Portland, Ori'deki 1 müşteri hizmetleri temsilcisi nedeniyle bir iPhone 14'ü güncelledi ve uzun vadeli bir müşteri oldu ve ailemi ve arkadaşlarımı AT & Ti'ye getirdi ve hesabımda değişiklikler buldu.ya da 3 ay kabul etti Ayda neredeyse 400 $ ödedim (orijinal faturalandırmamın iki katı fiyat) 4 satırla sonuçlandım ve ek bir telefon numarası duymadım ve Oand'ın bu telefon numarası için ek 70 $ ücret alındığını ve Linethe'ye işime söylendiOnlar için önemli değildi ve başka bir şirketten bir teklif almamalıyız Sean Osborn ile tanıştığınız, bu sefer tüm sorunlarımı çözen, işime değer veren hizmet temsilcisi, sorunları çözmek için zaman ayırdı ve geri ödememin beni inandırmasına neden olduYine iyi hizmette ve Sean için size bir müşteri olarak geldi, telafi edilmeli ve Sean gibi işçiler en büyük değer ve bana yardım ettiği için minnettarım",1
"Matthew West End Ave.'de Nashville, TN'deki konum, mağazaya yakın zamanda yapılan bir ziyarette bana yardımcı olmak için ""Üst ve Öteye"" gitti.Son zamanlarda yapılan bir hastalık nedeniyle kısa süreli hafıza kaybından muzdarip olduğum için ona aktardıktan sonra, yeni cep telefonumu programlamama sabırla yardımcı oldu ve nasıl kullanacağım konusunda bana rehberlik etti.Matthew, hem teknoloji meraklısı hem de müşteri dostu olmanın ne anlama geldiğini örnekledi.Yeni telefonuma geçişi olumlu ve karmaşık olmayan bir deneyim haline getirdiği için ATT'ye minnettarım.",1
İPhone'um Noel arifesinde kırıldı ve numaramı eski telefon Noel sabahına aktarmak için AT&T müşteri desteğini aramak zorunda kaldım.Simon çok yararlı ve sabırlıydı!Bana yardım ettiği için çok mutluyum ve umarım bu yıl en iyi Noel bonusunu alır!,1
AT&T ile kara çizgimi onarmak için planlı bir randevum vardı.Birkaç gün sürdü ve planlanan günümde bulamadılar.Ama Cumartesi günü ertesi sabah çıktıklarını ve düzelttiklerini gerçekten takdir ettim.Teknisyene çok teşekkürler.,1
"Biz AT&T Kevin ile inanılmaz bir deneyim vardı!Bizi çok bulmada inanılmaz derecede yardımcı oldu ve en iyi yanı onun yaklaşımıydı - saldırgan değil ya da bizi aşırı olmaya çalışıyordu.Bunun yerine, bize gerçekten yardım etmek isteyen bir arkadaştan tavsiye alıyormuş gibi hissettirdi.Kevin'in samimi ve profesyonel tavrı tüm süreci pürüzsüz ve stressiz hale getirdi.AT & T'de olumlu ve keyifli bir deneyim sahibi olmak isteyen herkes için onu tavsiye edin!",1
Home Depot Plaza'daki Plymouth Mass Store'da Att & Tjuan için inanılmaz bir çalışana büyük bir bağırış yapmak istiyorum!Olağanüstü hizmet !! Mağaza oldukça meşguldü ve başka bir müşteri sorununu çözüyordu.O odaklanmış ve çok profesyonel kaldı büyüyen kalabalık tarafından asla stresli!⭐️⭐️⭐️⭐️ !!,1
"Sadece Güney Tryon'daki Charlotte North Carolina'da AT&T'ye gitme hakkında bir inceleme yazmak istedim.Böyle iyi bir hizmet alıyorum.70'e yakınım ve her şeyi bana açıklamak için zaman harcıyorlar.Stetson adında bir yönetici vardı, bu yüzden ona beş büyük bir inceleme verecekti, bu yüzden her şeyi nasıl açıkladı.",1
"Avery, Altamonte Springs'te Best Buy'da AT&T için seçkin bir temsilcidir.Normalde satış konuşmaları için durmuyorum, ancak Avery'nin yaklaşımı dikkatimi çekti.Endişelerimi aktif olarak dinledi, beni asla baskı altında hissettirmedi ve kararla zamanımı almama izin verdi.Ayrıca diğer müşteriler için inanılmaz derecede nazikti, onlara da onlara yardımcı olacağından emin oldu. Bu AT&T ile ilk deneyimimdi ve umarım hizmet yüksek standart Avery setine kadar yaşıyor.İPhone 15 Aile Planı anlaşmasından yararlandım ve daha mutlu olamadım.Şükran Günü'nden sonra bir takip sorum olduğunda, Avery aynı gün aynı profesyonellik ve bakım ile cevap verdi.Ayahi sadece konuşmayı konuşmakla kalmıyor, gerçekten yürüyüşe yürüyor.Onun gibi olağanüstü müşteri hizmetleri tanımayı hak ediyor.AT&T, bu adama bir zam verin!",1
"Bu Dre Idk Mo Mo AT & T Metin O harika, bana arkadaşlarımdan birine mesaj atıyormuşum gibi hissettirdi çok yararlı",1
"AT & T'de müşteri olduğum için mutluyum.Örneğin bir kasırga her olduğunda, her zaman harekete geçerler, iyi olduğumdan emin olmak, yardım sunmak, her zaman sevdiklerinizle iletişimde kalabileceğimden emin olmak vb. Gerçekten düşünceli ve müşterilerine ne kadar değer verdiklerini gösteriyor.Her zaman yukarıda ve öteye gittiğiniz için teşekkür ederim :).",1
"Hücresel hizmetinizi tutmak için AT & T'yi aradığınızda.Acele edip sizi ayıracaklar.Onların ilgilenmeleri için asla ihtiyacınız olan şeyle başa çıkmayın.Faturanızı ödüyorsanız veya yeni bir ürün satın alıyorsanız, sizi reddetmek için hızlıdırlar. Bir yolculuğa çıktım ve AT&T bu uluslararası ücrete 12 dolara sahip.WiFi'imi Bluetooth'um Hücresel Hizmetime kestim.Yine de beni suçluyorlar.Her gün onlara kesildiğini göstermek için bir resim çektim.Bu piçler telefonumu kullandığımı söyleyecek.Sonra bana bir telefon yaptığımı veya bir metin gönderdiğimi göster.Bir sonraki şey konuşmamızı bitirdiler.Onlardan kurtulmam gerektiğini düşünüyorum.",1
"Kesin tarihi hatırlamıyorum ama yaklaşık 2 hafta önce Macon Road'daki yerel Columbus, Georgia AT&T mağazasına hesap yardıma ihtiyaç duyduk.Durumumuzu dinledikten sonra Theresa Wall, müşteri hizmetleri için beklediğimizin ötesine geçti!O hemen bizi selamladı, durumumuzu dinledi, sadece ihtiyacımız olanı değil, aynı zamanda sabırlı ve nazikken diğer öneriler sundu.Harika iş Theresa!Teşekkür ederim.",1
"Biz sadece 9725 Skokie Blvd, Skokie bulunan AT&T mağazasını ziyaret ettik ve Gerardo tarafından servis edildi.Ona sorduğumuz neredeyse her şey hakkında bilgili, bilgili ve Lay Person'un dilindeki tüm sorgularımızı nazikçe ve mizahla açıkladı.Onun tavrı bizi mağazadan çıktıktan hemen sonra yazmaya zorladı.Gerçekten onun tavsiyesi ve yardım takdir.Tüm personelinizin aynı kalibre olmasını dilerim.",1
"Arkansas, Maumelle'deki evimde kesilmiş bir fiber kablosunu onarmak için mükemmel hizmeti için AT&T'den Barry'ye teşekkür etmek istiyorum.Çıkan orijinal fiber yükleniciler yeni kabloyu ön çimim boyunca ve araba yolumun altında yeniden yönlendireceklerdi.Bu, bahçemde çok fazla hasar verirdi ve muhtemelen sulama hatlarımı bozardı.AT&T Service ile temasa geçtim ve yeni fiber kablosunu orijinal yolundan yönlendirmek için elinden gelen her şeyi yapan bir müfettiş gönderdiler, böylece bahçemi kazmaya gerek yoktu.Barry müthişti.Barry kesinlikle tüm krediyi hak ediyor ve bu sorunu çözerek günümü yaptı.Şimdi AT & T'nin büyük bir hayranıyım ve onları tavsiye ediyorum.",1
"Asla AT & T almayın.Bu bir saçmalık şirketi.Şimdiye kadar gördüğüm harika bir aldatmaca.Cihazın kilidini açmak için cihazın ödeme yaptım.Teknik olarak 2 kez ödedim, daha sonra cihazdan ödediğim ticaret kredisi formumu alıyorlar.Ve bana 36 aylık sözleşmesi olduğunu açıklamadıkları çizgiyi satın aldığımda aldatırlar, her zaman hareket edebileceğinizi söylediler.Bu benim için başka bir tuzaktı.1 yıl oldu hala her şeyden fazla ödeme yapıyorum.Eğer ayrılırsam her telefon için çok fazla ödeme yapmalıyım.Bu şirketi asla seçmedim.Hayatın benim gibi cehennemde olacak.Ayrıca Ajan, sisteminizin bazı faturalandırma sorunu olduğunu söyledi, eğer sisteminizin sorunu varsa neden bunun için daha fazla para ödeyeceğimiz ??Benim isteğim lütfen asla AT & T almayın.",1
"Bu sabah her şeye yardımcı olan müşteri hizmetlerinden Leo'ya çok teşekkür etmek istiyorum çünkü hiçbir TV, Alexa ve telefon hizmeti için stres var.Çok harikaydı ve bana her şeyde bana yardım etti.Leo'yu isteyin o harika.Christine Ault",1
"Ernie/Austin G., ücretli telefonumu yeni bir cihaza aktarmamda bana yardımcı olmaya çok yardımcı oldular.Hızlı ve çalışanlar dostu.Konumu Duarte California mağazası #awuk.",1
"611 numarasında AT&T aradım, birkaç dakika içinde Joel adlı bir adama bağlandı.Bilmek istiyordum, faturamı düşürmek için yapabileceğim bir şey var mı ve bana her ay ödediğimi bile bilmediğim 50 dolarlık bir sigorta hakkında son derece yardımcı oldu, toplamda birkaç şey arasındafaturamı ayda 73 dolardan fazla düşürdüm, çok teşekkür ederim Joel",1
"Son zamanlarda uzun süredir devam eden internet hizmetime AT&T telefon hizmeti eklemiştim.Galaxys24 fe'imi e -postada aldım, benden çok daha iyi ve daha gelişmiş bir telefon.Dosya transferleri veya teknoloji desteği ile ilgili herhangi bir şey konusunda bana yardımcı olamadıkları söylenecek bölgemdeki birkaç mağaza (Tulsa) aradığımda cesaret kırıldım.Sonunda müşteri hizmetleri çağrısı yaptım ve telefona giren teknoloji koreous ve bilgili idi, sorunumu anlamak için zaman ayırdı ve Calmy'nin beni her ayrıntıda yürütmesi ve her süreci anlamama yardımcı olmasına dair sabır vardı, bu yüzden benCihazlarımın daha bilinçli bir müşterisi olurdu.Hatta 2 yılı aşkın bir süredir beni rahatsız eden ev wi-fi krizini düzeltmeme yardımcı olmak için yukarıda ve öteye gitti.ID, bu tür iyi müşteri hizmetleri temsilcilerini ve teknolojilerini kullandığı için AT & T'ye kişisel olarak teşekkür etmek ister.Zaman almasına rağmen, çoğunlukla benden dolayı, amiriyle konuşmak için fazladan zaman ayırdım ve teknolojimin yaptığı her şey için etkilendiğimi ve minnettar olduğumu bildiklerinden emin oldum.Müşteri hizmetlerinde mükemmellik için övgü vermeye inanıyorum.Teşekkür ederim",1
"Tallahassee, Florida'da AT&T en son ziyaretlerim hakkında harika bir deneyim yaşadım.Blake W. ön ödemeli planımı kurmada çok yardımcı oldu ve kızımın telefon planıyla ilgili yeni bir sorunu çözdü.Kızımın telefonuyla sorunu çözmek için birkaç ajan ve hatta farklı bir mağazadaki bir yönetici ile konuştuk, ancak çevrelerde gidiyormuş gibi hissettim.Sorunu çözebildiği için minnettarım.",1
"AT&T Casper Wy Alışveriş Merkezi. Her zaman genç bayan Laura Scott o muhteşem bir kişi olduğundan, güvenilir ve çok tutarlı tüm sorularımıza cevap veriyor ve sahip olabileceğimiz herhangi bir sorunu çözüyor .grat müşteri hizmetleri temsilcisi çok yararlı.",1
"Fenton'daki Gravois Bluff konumunda Steve çok yararlı, anlayışlı ve tüm sorularınızın cevaplandığından emin olmak için zaman ayırıyor.Steve ile uğraşmadan önce, o mağaza ile birkaç kötü deneyim yaşadım ve geri dönmek için çok tereddüt ettim.Steve ile uğraştığından beri, her zaman hizmetle yukarıda ve öteye gider ve bilgisi harika!Onu her seferinde istiyorum ve hatta bir saatten fazla bir saat + son kez bekledim.Kesinlikle tavsiye!",1
5 yıldır AT&T vardı ve paket indirimlerim internet ve telefon hizmetlerine sahip oldukları için asla uygulanmadı.Bana bir yönetici tarafından indirim yapmak istemiyorlardı.Bana sadece yeni müşteri için olduğu söylendi !!!!!Bu yüzden sadık bir müşteriyi kaybedip kaybetmedikleri umrumda değil.Trinity'ye büyük müşteri hizmetleri ve anlayış için teşekkür ederiz.Sadık bir müşteri olduğu için biraz indirim uygulayabildi.Sadık bir müşteriyi kaybetmek istemiyordu.Tekrar teşekkürler Trinity.,1
"Merrillville'deki AT&T'e bir cep telefonu sorunu ile US30'da gittim ve aldığım hizmet muhteşemden daha fazlaydı ve çalışanlar Bayan Raven, Bayan Shonna ve Bay Terrell, tamamen memnun olduğumdan emin olmak için görev çağrısının ötesine geçti.Elektroniklerim çalışma durumundaydı.Deneyimlerimi onlarla geçirdiğim zamana değecek olan üç AT&T çalışanının hepsinin tüm yardımlarını gerçekten takdir ediyorum… Şimdi sadece üç yaşındayım çünkü şimdi üç yaşındayım ❤oo🙂",1
