yorum,label
"İnternete erişirken bilgisayarım için tethering seçeneğini kullanabileceğim sınırsız veri düşünmeyi seçmem dışında, ID Mobile'dan oldukça memnunum, maalesef durum böyle görünmüyor.",1
"Kimlik Mobile'a geçtiğinden beri, izlediğim siteyi silmeden, bazılarının kaldırılması zor veya hatta imkansız olan çok sayıda reklamla sürekli sular altında kaldım.Bu yüzden hizmetiniz bu kadar makul fiyatlı görünüyor mu?Ayrıca yakın zamanda çevrimiçi banka hesabıma erişmenin imkansız olduğunu gördüm.Bankam (Santander) bana her şeyin kendi sonunda olduğunu söylüyor ve İnternet Sağlayıcım (Vodafone) da öyle.Hatanın hizmetinizde olduğunu düşünmezdim, ama sadece son zamanlarda oldu.",1
Sadece evin bazı bölgelerinde bir sinyal alıyorum.,1
"Telefonuma bağlı iki telefon numaram var, size aktardığım sayı 07775306501 idi, ilk verilen sayının iptal edildiğini düşünmüyor.",1
"Çoğu zaman benim ve eşimin cep telefonunu okumak için ve çevresinde sadece tek bir sinyal çubuğu alır, veri çoğu zaman işe yaramaz.Okumadaki kimlik kötü ağ sinyalleri nedeniyle O2'ye gidiyoruz ve O2'ye geçiyoruz",1
"Fransa'dayken, ücretler hakkında sorunsuz bir sorun olmadan veri dolaşımına erişimim olmasını seviyorum",1
En iyi appaling gibi basit bir soru sorarken Curry'nin Chester deneyimini çok fazla buldum !!!,1
Sözleşmelerini bitirdiklerinde ve hizmetlerinizi kullanmadıklarında müşterileri şarj etmeyi sevmedim.Lütfen benimle iletişime geçin ve hesabımı iade edin!,1
"Yetersiz faturalandırma detayları sadece bir penatik olarak tanımlayabildiğim şeyi aldı Birleşik Krallık ödemesi olarak tanımlandı, çok az açıklama vardı ve topluluk merkezi yararsızdı, sohbet hattı en iyi şekilde zayıftır, insan teması eksikliği sinir bozucu, çevrimiçi sohbet değilYararlı ve çok robotik",1
Zayıf resepsiyon.Sözleşmem bittikçe dükkana girdim.Uzun vadeli bir müşteri için kötü anlaşmalar vardı,1
"Çok verimli bir hizmet ve genellikle WiFi evde arama ile çağrı için iyi çalışır.Bununla birlikte, metinlerin alınması, çevrimiçi olarak O2'den daha iyi alım önermesine rağmen ve çoğu şey için iki faktörlü yetkilendirme ile gerçek bir acıdır!",1
Az ya da çok iyi bir şey önemli değil,1
"Çok fazla kredinin kaldığını belirtmek için ekranda görüntülenen dijital bir metre bir şeyiniz olsaydı? Mobilimi kullanıyorum, tek bir ben olduğumdan önce genellikle gbs'ten tükenirim mi?GB'lerden sonra web üzerinden sizinle iletişime geçemem.- Ve telefon numaranızı ortaya çıkarmak için isteksizsiniz - neden?",1
İyi bir değer ama çok fazla zayıf sinyal alanı.,1
"4 g yaygın olarak mevcuttur, peki neden 4G yok ??",1
Metin benim için mümkün değil ve nedenini bilmiyorum,1
Bir SIM almakta sadece bir nedenden dolayı kilitlendi,1
"Kapsam biraz düzensiz, genellikle internete bağlı. Özellikle veri rollover ile fantastik bir anlaşma.",1
Hafta sonu Edinburgh'a gittim.Arkadaşımın ağının çoğu dükkan ve restoran içinde bağlantısı vardı ama benimki çok daha yavaş ya da hiç bir bağlantısı vardı.,1
"Telefonu yükseltmek ve anlaşma yapmak istedim.Kolay değildi.Sunulan iki anlaşma, e -posta yoluyla önerdiğiniz şey ile web sitesinin söyledikleri arasında değişti.E -postadaki teklif web'de değildi.",1
Kuzey Cheshire ve Kuzey Galler'de resepsiyon almak için mücadele ediyorum,1
Çok güvenilir bir 4G sinyaline sahipti - şimdi hem 4G hem de 5G güvenilmez.Utanç çünkü kimlik fiyatları ve uygulama vb. Hepsi mükemmel.,1
"Sözleşmenin daha iyi anlaşmalar olarak iptal edilmesini ciddi olarak düşünmek, yeni müşterilere sunulmaktadır - sadık müşteriler için kalmak için teşvik yok !!",1
"Sinyal her zaman iyi değildir, daha fazla sinyal güçlendiriciye ihtiyacım var",1
"Telefonla ve tüm bunlarla mutlu, ama yanlış renk izlemesini gönderdiğim için üzgün ve daha sonra doğru olanı almanın tek yolunu tekrar yükseltme işlemini iptal etmek ve yeniden başlatmaktır.Özellikle sahip olduğum anlaşma artık mevcut olmadığında çok adil görünmüyor",1
